
rmaj = 5
rmaj = 26
           1  (-1.50969125727944608E-003,1.70713959947923939E-002)
           2   (1.25094909105662937E-003,1.10829945049383712E-002)
           3      (-1.15287647721508523E-002,-0.10815787111560353)
           4  (-1.99875927140690662E-002,5.17278944439528848E-003)
           5  (3.24967747734259474E-002,-2.19840719688738050E-002)
           6  (1.30199987416504768E-002,-2.43360961621537711E-003)
           7 (-3.87936773125351630E-002,-6.96942730496107662E-003)
           8 (-1.01514194229973490E-002,-5.54399191959980327E-003)
           9  (-2.57303685916858600E-002,7.27154452087747233E-002)
          10  (-8.60659966756111700E-003,3.03874221579036180E-003)
          11               (1.6029335691849786,15.026836539275360)
